"";"reg_name";"crash_type_name";"crash_date";"crash_time";"crash_reason";"fatalities_amount";"victims_amount";"vehicles_amount";"participants_amount";"month"
"1";"Тверская область";"Столкновение";20180630;"23:45";"Нарушение правил расположения ТС на проезжей части, Выезд на полосу встречного движения";3;0;2;3;2018-06-01
"2";"Рязанская область";"Наезд на пешехода";20180630;"23:35";"Нахождение на проезжей части без цели её перехода";1;0;1;2;2018-06-01
"3";"Калужская область";"Наезд на животное";20180630;"23:30";"Другие нарушения ПДД водителями";2;2;1;3;2018-06-01
"4";"Ленинградская область";"Съезд с дороги";20180630;"23:30";"Другие нарушения ПДД водителями";0;1;1;12;2018-06-01
"5";"Ростовская область";"Столкновение";20180630;"23:10";"Превышение установленной скорости движения";3;0;2;3;2018-06-01
"6";"Тульская область";"Опрокидывание";20180630;"23:00";"Другие нарушения ПДД водителями";1;1;1;2;2018-06-01
"7";"Республика Башкортостан";"Опрокидывание";20180630;"23:00";"Другие нарушения ПДД водителями";1;0;1;12;2018-06-01
"8";"Кемеровская область";"Опрокидывание";20180630;"23:00";"Нарушение правил расположения ТС на проезжей части";1;0;1;2;2018-06-01
"9";"Челябинская область";"Наезд на препятствие";20180630;"22:50";"Нарушение правил расположения ТС на проезжей части";1;0;1;12;2018-06-01
"10";"Республика Мордовия";"Столкновение";20180630;"22:30";"Выезд на полосу встречного движения";2;0;2;3;2018-06-01
"11";"Калужская область";"Опрокидывание";20180630;"22:30";"Нарушение правил расположения ТС на проезжей части";1;0;1;2;2018-06-01
"12";"Тульская область";"Столкновение";20180630;"22:20";"Нарушение правил перестроения";4;0;2;5;2018-06-01
"13";"Вологодская область";"Наезд на велосипедиста";20180630;"22:20";"Неправильный выбор дистанции";1;0;2;2;2018-06-01
"14";"Краснодарский край";"Столкновение";20180630;"22:20";"Неправильный выбор дистанции";0;1;2;3;2018-06-01
"15";"Тульская область";"Опрокидывание";20180630;"22:10";"Другие нарушения ПДД водителями";1;0;1;12;2018-06-01
"16";"Ленинградская область";"Опрокидывание";20180630;"22:10";"Другие нарушения ПДД водителями";2;0;1;3;2018-06-01
"17";"Калужская область";"Наезд на стоящее ТС";20180630;"22:02";"Другие нарушения ПДД водителями";1;0;2;12;2018-06-01
"18";"Камчатский край";"Опрокидывание";20180630;"22:00";"Другие нарушения ПДД водителями";2;0;1;2;2018-06-01
"19";"Московская область";"Наезд на стоящее ТС";20180630;"21:55";"Превышение установленной скорости движения";1;0;2;2;2018-06-01
"20";"Московская область";"Столкновение";20180630;"21:45";"Несоблюдение очередности проезда";2;0;3;3;2018-06-01
"21";"Волгоградская область";"Наезд на пешехода";20180630;"21:35";"Нахождение на проезжей части без цели её перехода";0;1;1;2;2018-06-01
"22";"Омская область";"Столкновение";20180630;"21:33";"Несоблюдение очередности проезда";3;0;2;4;2018-06-01
"23";"Калужская область";"Наезд на стоящее ТС";20180630;"21:30";"Другие нарушения ПДД водителями";1;0;3;2;2018-06-01
"24";"Астраханская область";"Опрокидывание";20180630;"21:30";"Другие нарушения ПДД водителями";3;1;1;4;2018-06-01
"25";"Ставропольский край";"Наезд на пешехода";20180630;"21:25";"Нарушение правил проезда пешеходного перехода";0;1;1;2;2018-06-01
"26";"Удмуртская Республика";"Опрокидывание";20180630;"21:20";"Другие нарушения ПДД водителями";1;0;1;3;2018-06-01
"27";"Республика Крым";"Столкновение";20180630;"21:10";"Неправильный выбор дистанции";2;0;2;3;2018-06-01
"28";"Московская область";"Опрокидывание";20180630;"21:05";"Несоответствие скорости конкретным условиям движения";2;0;1;4;2018-06-01
"29";"Республика Северная Осетия — Алания";"Опрокидывание";20180630;"21:00";"Другие нарушения ПДД водителями";1;0;1;2;2018-06-01
"30";"Нижегородская область";"Столкновение";20180630;"20:50";"Нарушение требований дорожных знаков, Нарушение требований сигналов светофора";1;0;2;2;2018-06-01
"31";"Краснодарский край";"Наезд на стоящее ТС";20180630;"20:48";"Несоблюдение бокового интервала";2;0;2;3;2018-06-01
"32";"Ленинградская область";"Столкновение";20180630;"20:40";"Нарушение правил перестроения";2;0;2;3;2018-06-01
"33";"Краснодарский край";"Столкновение";20180630;"20:40";"Нарушение правил расположения ТС на проезжей части";3;0;2;3;2018-06-01
"34";"Ленинградская область";"Съезд с дороги";20180630;"20:30";"Другие нарушения ПДД водителями";2;0;1;2;2018-06-01
"35";"Кемеровская область";"Столкновение";20180630;"20:30";"Нарушение правил расположения ТС на проезжей части";4;0;2;4;2018-06-01
"36";"Хабаровский край";"Столкновение";20180630;"20:30";"Неправильный выбор дистанции";3;0;2;3;2018-06-01
"37";"Республика Крым";"Столкновение";20180630;"20:30";"Выезд на полосу встречного движения";1;0;2;3;2018-06-01
"38";"Белгородская область";"Столкновение";20180630;"20:10";"Несоблюдение очередности проезда";0;1;3;2;2018-06-01
"39";"Тюменская область";"Столкновение";20180630;"20:10";"Неправильный выбор дистанции";4;0;2;6;2018-06-01
"40";"Санкт-Петербург";"Столкновение";20180630;"20:05";"Выезд на полосу встречного движения";6;0;2;5;2018-06-01
